Fornavne til kvinder pr. 1. januar 2015

Navn	ANTAL
ELSEMARIE	118
FRITZE	118
IRMGARD	118
MELIHA	118
MIRJANA	118
TASJA	118
UMA	118
ANKE	117
ANTJE	117
AYTEN	117
BETÜL	117
MERCEDES	117
SUZANA	117
FAIZA	116
GAMZE	116
JAQUELINE	116
NAJAT	116
NESRIN	116
SHIRLEY	116
CHLOE	115
ELSIE	115
ELY	115
EMA	115
GÜLÜZAR	115
MADINA	115
SABAH	115
SEHER	115
SEMA	115
BIRGITHE	114
DALAL	114
DITTE-MARIE	114
JANICE	114
KIMBERLY	114
NATALIYA	114
SERPIL	114
ANNE-MERETE	113
EDYTA	113
PINAR	113
SINEM	113
CANAN	112
HODA	112
KAIA	112
LARISA	112
SANAA	112
WICKI	112
ANINA	111
BERIVAN	111
JUDIT	111
JULIANA	111
MIRSADA	111
SUSANA	111
HODAN	110
JING	110
JUSTINE	110
KATERYNA	110
KISS	110
LUCIE	110
MALIA	110
MELINDA	110
NATASIA	110
RUKIYE	110
STEFFANIE	110
TASCHA	110
VANDA	110
ZARAH	110
EMELY	109
REGINE	109
SEMRA	109
TIA	109
BÜSRA	108
CHANEL	108
DANIJELA	108
FLORENCE	108
MARLENA	108
MARYNA	108
RASA	108
SUNA	108
YILDIZ	108
AYLIN	107
GURI	107
HAFSA	107
INGE-LIS	107
JAMILLA	107
KICKI	107
ADDY	106
ASLI	106
BRENDA	106
CAROL	106
GÜLAY	106
SIMA	106
VINI	106
WINIE	106
ALLA	105
AMNA	105
HAMIDE	105
MINE	105
SEVDA	105
SOL	105
SUSSANNE	105
YAN	105
YASMINE	105
ANI	104
EMAN	104
FRIGG	104
HABIBA	104
HONG	104
ISRAA	104
JEANNETT	104
ROSITA	104
ROXANA	104
SALLI	104
SHIRIN	104
ALEXIA	103
ATHENA	103
IULIIA	103
JACKIE	103
KELLY	103
MALAIKA	103
MELIKA	103
PHUONG	103
REEM	103
WAFAA	103
ARIFE	102
DYVEKE	102
KATALIN	102
NADIN	102
NELLI	102
NIKOLA	102
VALERIA	102
WERONIKA	102
ANELISE	101
ANNELINE	101
BERTA	101
ENISA	101
FATEN	101
GORDANA	101
MANON	101
NANETTE	101
NUR	101
SAMINA	101
VIRGINIA	101
ADELA	100
ANNAMARIE	100
BEYZA	100
GIULIA	100
HAMDI	100
SERAP	100
TONIE	100
TÜLAY	100
ABIGAIL	99
ELAINE	99
JADWIGA	99
LUKA	99
NATJA	99
RASHA	99
VANJA	99
ANE-MARIE	98
ANNET	98
ELEANOR	98
EMEL	98
GHADA	98
HAYAT	98
LIANA	98
MARIYA	98
NAJMA	98
OLIWIA	98
RAYAN	98
RIA	98
ANNELIS	97
BEINTA	97
DESIRÉE	97
DRAGANA	97
ERLA	97
HANNI	97
PERIHAN	97
SILVANA	97
TIFFANY	97
YING	97
ISRA	96
JOSEFINA	96
MILICA	96
RASMINE	96
RUT	96
SIENNA	96
ANNE-CATHRINE	95
ANNE-LENE	95
AYSEGÜL	95
DIJANA	95
GRITT	95
MIKELA	95
MISCHA	95
SEBRINA	95
SHAHNAZ	95
SHEENA	95
SUSANN	95
ADILE	94
ALISON	94
ANNA-MARIA	94
ANN-CHARLOTTE	94
FELINE	94
HOUDA	94
JULIJA	94
LIZZY	94
NAN	94
NESLIHAN	94
NIELSINE	94
NILLE	94
PENELOPE	94
ROZA	94
SABA	94
ULRIKE	94
WIOLETTA	94
CHRISTIN	93
JANETTE	93
JONNY	93
KIRI	93
LIDA	93
NABILA	93
ARZU	92
AYESHA	92
CYNTHIA	92
FATIME	92
JEANIE	92
JULIET	92
JURGITA	92
KRESTINE	92
LJILJANA	92
REBECKA	92
REGITSE	92
SABRIN	92
SALINA	92
SINA	92
TETYANA	92
YVETTE	92
ANIA	91
COCO	91
GERTIE	91
IDUN	91
IRMELIN	91
JANI	91
KIKKI	91
LISSEN	91
MALENA	91
MARIETTE	91
NATASA	91
NAZIA	91
NERMIN	91
SELDA	91
ALENA	90
ANASTASIJA	90
CELESTE	90
CHIARA	90
INGELIS	90
JUDI	90
NICOLETA	90
NIDA	90
NURAY	90
RAHMA	90
VALERIE	90
AINA	89
ANNABEL	89
FRANCISKA	89
HAVVA	89
ILAYDA	89
KJESTINE	89
SARI	89
ANCA	88
BRIGITTA	88
FARZANA	88
JASMINKA	88
MANAR	88
PAOLA	88
ZIA	88
ADELINA	87
ANNABELLE	87
ARENDSE	87
GÜLSÜM	87
HAMIDA	87
LORENA	87
MARJUN	87
NATASHIA	87
NITA	87
NURTEN	87
OANA	87
SAKINA	87
SALIHA	87
ALFRIDA	86
ANNELENE	86
APRIL	86
ASYA	86
ELLEN-MARGRETHE	86
FRANCISCA	86
HOLLY	86
IQRA	86
MAIKE	86
SAFIYA	86
SYEDA	86
YUSRA	86
ZINA	86
BILJANA	85
CHELINA	85
EMIRA	85
ETLY	85
GIZEM	85
HAWA	85
HEIDIE	85
MARIETTA	85
ASIYE	84
AZIZA	84
CHERIE	84
ENYA	84
GÜLCAN	84
GÜLSEN	84
INEZ	84
JENNA	84
JUSTINA	84
KORNELIA	84
LILIA	84
LITTA	84
NASRA	84
NEDA	84
OPHELIA	84
PENILLE	84
TABITHA	84
AURORA	83
BELMA	83
CATHRIN	83
DRAGICA	83
EGLE	83
EMMALIE	83
LILA	83
MEI	83
SHABNAM	83
ZAHIDA	83
ZAKIA	83
ALIYA	82
AYAT	82
BATOUL	82
DIANNE	82
EJA	82
HAVA	82
HELLEN	82
LILLAN	82
LYA	82
NOURA	82
SELINE	82
TAHIRA	82
ALINE	81
ANNA-LOUISE	81
ANN-CHRISTINA	81
CHANNIE	81
CILIA	81
DENISA	81
DORETE	81
DOROTHEA	81
EMMELINE	81
KEVSER	81
KHALIDA	81
MARGA	81
MIKAELA	81
MOUNA	81
ROSE-MARIE	81
SANDI	81
SOFIE-AMALIE	81
TEODORA	81
TESS	81
ALLY	80
ANITHA	80
FADIA	80
GÜL	80
HANADI	80
HANIFE	80
JANINE	80
JEANNET	80
NASREEN	80
RIM	80
RUBY	80
SAMAH	80
STEFFIE	80
SUZI	80
ALETTE	79
AMÉLIE	79
ANNE-LIS	79
AVIAYA	79
CIGDEM	79
CILJE	79
HADIL	79
JENA	79
KONNI	79
NOMI	79
NURIYE	79
RAZIA	79
RUTA	79
SALLIE	79
YETER	79
ADINA	78
ANA-MARIA	78
ANAYA	78
BARBRO	78
BILLIE	78
FLORENTINA	78
LOLITA	78
NATALIJA	78
NURAN	78
NURCAN	78
SENA	78
WICKIE	78
ZARINA	78
CAJSA	77
DORETHE	77
EMILIJA	77
LAN	77
MARGRET	77
ULRIKA	77
ÅSA	77
AGNE	76
CICILIE	76
DUNJA	76
FARIBA	76
KRISTINNA	76
MARCELA	76
MIRNA	76
RONA	76
RØSKVA	76
SABIHA	76
SNEZANA	76
ZOEY	76
AGDA	75
CHLOÉ	75
HEVIN	75
LUDMILA	75
MAYBRIT	75
MEHTAP	75
MIRJA	75
ROJIN	75
RUKHSANA	75
SIDRA	75
STEFANIA	75
THU	75
VIKTORIIA	75
YELIZ	75
ANNE-KIRSTINE	74
CLEO	74
ESMERALDA	74
FERIDE	74
HAZEL	74
INGEGERD	74
IVALU	74
KATIE	74
KIMMI	74
KITTE	74
LAMIA	74
LAUREN	74
LEENA	74
MARIAH	74
NIVI	74
PRISCILLA	74
RENEE	74
SAWSAN	74
UZMA	74
WAFA	74
