Fornavne til mænd pr. 1. januar 2015

Navn	ANTAL
GHOLAM	81
JOHS	81
MEVLÜT	81
MYKOLA	81
PAU	81
REINHARD	81
SIRIUS	81
THIM	81
ÜMIT	81
ABED	80
ALIJA	80
BELAL	80
DANIJEL	80
DENNI	80
ESPER	80
MORTEZA	80
NEDZAD	80
NENAD	80
RAPHAEL	80
RAUL	80
SAMSON	80
SEMIH	80
SYLWESTER	80
TURE	80
ZAKI	80
DAMIEN	79
GERARD	79
HUSEIN	79
NICHOLAJ	79
NIHAT	79
OKTAY	79
RAMIN	79
SABAH	79
STIAN	79
TAUS	79
VIDAR	79
ABDALLA	78
ABDULAHI	78
BOE	78
CLEMENS	78
DICK	78
EHSAN	78
JUSUF	78
KAZIMIERZ	78
LENNI	78
MELIH	78
NAVID	78
OZAN	78
PAULIUS	78
RESUL	78
SAMAN	78
SHAUN	78
VADYM	78
VELI	78
VILAS	78
YAVUZ	78
ZSOLT	78
ATLE	77
CORNELIS	77
ETHAN	77
HUNG	77
TROND	77
TRYGVE	77
ABDURRAHMAN	76
AYDIN	76
BOY	76
CHI	76
DAVIDE	76
DONATAS	76
ERNEST	76
HILMER	76
JALTE	76
JENS-KRISTIAN	76
LASZLO	76
LEVENT	76
LORENS	76
RAMIZ	76
RAYAN	76
RUSLAN	76
SVANTE	76
ZAKARIYA	76
ALEC	75
ANIL	75
BEKIM	75
EMIRHAN	75
FUAD	75
JAKUP	75
JAN-ERIK	75
JULIEN	75
MIHAIL	75
MILOS	75
NINO	75
SABAN	75
SHAHIN	75
VAHID	75
ANDRIY	74
MAKSIM	74
MIR	74
MUZAFFER	74
NAIM	74
OVIDIU	74
UNO	74
YONIS	74
ABDULLA	73
ALAIN	73
ARAM	73
ASIF	73
ATILLA	73
JOAO	73
JÖRG	73
MARLON	73
NORD	73
POUL-HENNING	73
RAZVAN	73
TAO	73
TINUS	73
XAVIER	73
ANGEL	72
DANILO	72
EBRAHIM	72
EGGERT	72
ERGIN	72
EUGEN	72
GUNNI	72
NICOLA	72
PATRICH	72
SABRI	72
SLOBODAN	72
WEI	72
DETLEF	71
FEDERICO	71
GRAHAM	71
HALVOR	71
HUXI	71
MANSOUR	71
MICAEL	71
REIDAR	71
SEMIR	71
SIMEON	71
THORMOD	71
ZAHID	71
ALIN	70
ASSER	70
CONG	70
HALIT	70
KASSEM	70
MARCOS	70
