Fornavne til mænd pr. 1. januar 2013

Navn	ANTAL
MALEK	126
OLEG	126
SAMER	126
ADMIR	125
LUKE	125
RYSZARD	125
BJARNI	124
CHRISTER	124
CLAUDIO	124
DARIUS	124
EROL	124
FERNANDO	124
IONUT	124
LEVI	124
NEIL	124
PASCAL	124
STEFANO	124
TAHIR	124
EDUARD	123
GHULAM	123
HAYDAR	123
LESLIE	123
MINDAUGAS	123
MOHSEN	123
SHAWN	123
SVERRE	123
ALIREZA	122
ARILD	122
GIUSEPPE	122
LARS-ERIK	122
NIELS-OLE	122
OLIVIER	122
OMID	122
CLEMENT	121
DOGAN	121
ERCAN	121
HAIDAR	121
ISSA	121
JÓN	121
MEHMED	121
TIMMI	121
WILLUM	121
ADOLF	120
ERDAL	120
JEREMY	120
NATHAN	120
STANLEY	120
ALMIR	119
KERIM	119
MESUT	119
ONUR	119
RAJA	119
ADIS	118
ALESSANDRO	118
ASIM	118
EKREM	118
FREDDI	118
JOEY	118
MATHIES	118
TADEUSZ	118
MILAD	117
OSAMA	117
QUOC	117
EREN	116
GARY	116
JAMIL	116
JOZEF	116
DANIAL	115
EDWIN	115
EINER	115
MIROSLAV	115
TEODOR	115
YASAR	115
REMI	114
ANDREA	113
BARIS	113
FOLKE	113
GÖKHAN	113
VALTHER	113
ØJVIND	113
ANDRIUS	112
CAN	112
HAIDER	112
HAMED	112
MAHER	112
RADOSLAW	112
SZYMON	112
TERJE	112
ANDRII	111
ANGELO	111
ARIAN	111
GEORGIOS	111
ILIAS	111
LUDWIG	111
MARTINUS	111
SAEED	111
SERHAT	111
CIHAN	110
HANS-JØRN	110
IOAN	110
JAWAD	110
ANWAR	109
HENRYK	109
KEAN	109
JENS-JØRGEN	108
NERMIN	108
RECEP	108
SEAD	108
TAHA	108
TOMMAS	108
ABDULKADIR	107
BASSAM	107
BOBBY	107
CAI	107
DIRCH	107
GÜNTER	107
JALAL	107
MIKAL	107
PHILIPP	107
USMAN	107
FINI	106
FREY	106
HOANG	106
MAHAD	106
PAOLO	106
GERHARDT	105
HANI	105
RICARDO	105
ATTILA	104
KELVIN	104
NIMA	104
PETAR	104
RIKARD	104
ARASH	103
UGUR	103
VALTER	103
BENDIX	102
DAG	102
FOUAD	102
ILHAN	102
JESSE	102
MUHAMMET	102
SERGIO	102
BASHIR	101
FRIEDRICH	101
LARS-BO	101
MASOUD	101
PAVEL	101
SAFET	101
EDDY	100
ENGIN	100
ERHARD	100
JOSÉ	100
MIKLAS	100
VASILE	100
AMMAR	99
BÜNYAMIN	99
FREDERIC	99
HAAKON	99
HABIB	99
YASSER	99
ZIAD	99
BERNARD	98
EL	98
EMRAH	98
JAIS	98
LAUS	98
QUANG	98
TARIQ	98
BRYAN	97
CHARLY	97
CILAS	97
ISAC	97
MAKSYM	97
NADER	97
NASIR	97
SELIM	97
SHAHID	97
WILFRED	97
ARDA	96
ARNT	96
HÅKON	96
KONSTANTIN	96
LARS-HENRIK	96
LENNARTH	96
THURE	96
VOLKAN	96
LEE	95
MANTAS	95
WAGN	95
YANNICK	95
ANTONI	94
BJERNE	94
GREGORY	94
SELCUK	94
AYUB	93
ERHAN	93
KONSTANTINOS	93
MIRAN	93
SEVERIN	93
ALEKS	92
GHEORGHE	92
IHSAN	92
LEAN	92
SAIF	92
WIKTOR	92
AYOUB	91
BENN	91
CHRISTOPHE	91
FIKRET	91
IOANNIS	91
KEREM	91
LENNERT	91
RASIM	91
SAMET	91
SKJOLD	91
UMAR	91
WIESLAW	91
ØYVIND	91
ASAD	90
EDUARDO	90
JAVIER	90
JOSVA	90
EJVIN	89
GEORGI	89
ISSAM	89
LENNARD	89
SERDAR	89
STINUS	89
STUART	89
ABDULRAHMAN	88
ALDIN	88
DUC	88
GHASSAN	88
IDRIS	88
LESZEK	88
LIBAN	88
MOUSSA	88
NICOLAE	88
ODD	88
TEIT	88
WAEL	88
ZELJKO	88
ABRAHAM	87
DOUGLAS	87
EFE	87
HANS-OLE	87
KRISTJAN	87
MICHELL	87
NICKOLAS	87
RAHIM	87
RASHID	87
TEJS	87
ZAIN	87
ØMER	87
JANIS	86
MARWAN	86
MILTON	86
NURI	86
PAULO	86
TUAN	86
UMUT	86
ALBIN	85
CALVIN	85
CEM	85
DANI	85
DOMINIC	85
HICHAM	85
KLAES	85
PETTER	85
PIETER	85
SASA	85
SHANE	85
TIMMY	85
ANDRIY	84
HALVOR	84
HILMER	84
KAMRAN	84
KARL-ERIK	84
MD	84
NOOR	84
RADU	84
REINHARD	84
WISSAM	84
CELAL	83
ELVIR	83
ION	83
MEVLÜT	83
MICKY	83
MOHAMUD	83
NORMANN	83
OKAN	83
RUMLE	83
ALEJANDRO	82
ANES	82
BARAN	82
BENYAMIN	82
ESAD	82
FADIL	82
FALKE	82
ISTVAN	82
JIHAD	82
KASIM	82
KEVEN	82
NADEEM	82
NEDZAD	82
ODIN	82
PETUR	82
RESUL	82
THIM	82
ÜMIT	82
ALIJA	81
ANDRES	81
ARMAN	81
BARTLOMIEJ	81
CATALIN	81
CLEMENS	81
ESPER	81
JENS-HENRIK	81
KRYSTIAN	81
LORENS	81
MARCELL	81
PAU	81
SAHIN	81
SIGVALD	81
YOSEF	81
AMEL	80
ARTEM	80
CARL-CHRISTIAN	80
ENIS	80
ENRICO	80
GEIR	80
MAXIMILLIAN	80
NICHOLAJ	80
STIAN	80
VLAD	80
ARI	79
BOE	79
BOY	79
DENNI	79
DICK	79
GHOLAM	79
ISHAK	79
JAKUP	79
JAN-ERIK	79
JÖRG	79
KARL-JOHAN	79
LENNI	79
MICHELE	79
RAMADAN	79
SABAH	79
SALMAN	79
TAUS	79
TROND	79
DIMITRIOS	78
SALEM	78
DEREK	77
FABIO	77
GERARD	77
GUNNI	77
HUNG	77
JOHS	77
MORTEZA	77
NIKOLAOS	77
SABAN	77
TRYGVE	77
TURE	77
VILMER	77
ANDREJ	76
DAMIEN	76
NIHAT	76
SALVATORE	76
YAVUZ	76
AMJAD	75
HUSEIN	75
JENS-KRISTIAN	75
MATIN	75
NAIM	75
NAVID	75
OKTAY	75
OZAN	75
SEMIH	75
UNO	75
VOLKER	75
ABED	74
ANTOINE	74
ARN	74
ASLAN	74
HEKTOR	74
KARL-HEINZ	74
MELIH	74
MUZAFFER	74
POUL-HENNING	74
RAMIZ	74
SAMSON	74
ABDURRAHMAN	73
ANIL	73
ASSER	73
BEKIM	73
CORNELIS	73
DANIJEL	73
DETLEF	73
EGGERT	73
LASZLO	73
MELVIN	73
MYKOLA	73
SERGIY	73
VELI	73
VILLI	73
YASIR	73
FUAD	72
JALTE	72
LEVENT	72
MICAEL	72
MIR	72
NENAD	72
PATRICH	72
SLOBODAN	72
TUNCAY	72
AKRAM	71
AYDIN	71
CHI	71
CONNY	71
EMAD	71
ERNEST	71
LORENZO	71
MANSOUR	71
MIRKO	71
SAMAN	71
UDO	71
VITALII	71
YONIS	71
ABDALLA	70
ABEL	70
ALEC	70
ALEKSANDR	70
ASIF	70
GERALD	70
LARS-OLE	70
NIKOLAY	70
NINO	70
SÜKRÜ	70
TAO	70
THORMOD	70
DANILO	69
DIMITAR	69
DINH	69
HALIT	69
HUSSAM	69
IULIAN	69
JUSUF	69
REIDAR	69
SEMIR	69
SHAUN	69
STEIN	69
ZAKI	69
ABDULAHI	68
BERT	68
DUMITRU	68
EIGILD	68
ERGIN	68
GRAHAM	68
HØGNI	68
KASSEM	68
KAZIMIERZ	68
NIELS-JØRN	68
RAMIN	68
SHAHIN	68
TINUS	68
ALAIN	67
AMDI	67
ATILLA	67
BILLE	67
CONG	67
EMIRHAN	67
HAKIM	67
HUU	67
JAIME	67
JULIEN	67
MAXIM	67
MILOS	67
MUHAREM	67
OGUZ	67
OLA	67
RAUL	67
RUSLAN	67
STANISLAV	67
VAHID	67
VIDAR	67
VYTAUTAS	67
WEI	67
XAVIER	67
ZOLTAN	67
ABDULLA	66
ARAM	66
ATLE	66
BARRY	66
BELAL	66
CIPRIAN	66
DARIO	66
ELITH	66
JAFAR	66
MEIK	66
MOUNIR	66
PAULIUS	66
SVANTE	66
VITO	66
WILLEM	66
YOUSIF	66
EBRAHIM	65
EUGEN	65
FEDERICO	65
JANOS	65
JOVAN	65
LUCIAN	65
NATHANIEL	65
NEDIM	65
PETRU	65
SHAHZAD	65
SYLWESTER	65
ALEXANDAR	64
BRAHIM	64
CARIT	64
DARKO	64
DAVIDE	64
DUY	64
EHSAN	64
ELMAR	64
FIRAS	64
GAZI	64
GUDMUNDUR	64
HARLEY	64
NICOLA	64
OGUZHAN	64
RAPHAEL	64
SELAHATTIN	64
SIMEON	64
SORIN	64
ZAHID	64
ANTONY	63
ASHRAF	63
FAHAD	63
GEOFFREY	63
GERRIT	63
IWAN	63
JØRN-OLE	63
KAAN	63
LAURS	63
NECATI	63
NIHAD	63
WAQAS	63
YONAS	63
ZAID	63
HAROON	62
HUSEYIN	62
LARS-PETER	62
LAURENT	62
LONG	62
MALCOLM	62
SASCHA	62
SIRIUS	62
TOLGA	62
TRUNG	62
TUNE	62
VADYM	62
VALDE	62
ZLATKO	62
ANH	61
AYAD	61
GUY	61
GØSTA	61
HARRIS	61
IURII	61
JOZSEF	61
KAMEL	61
MEHRDAD	61
MORITZ	61
NIGEL	61
SABRI	61
SAJJAD	61
SALAM	61
SEDAT	61
TAN	61
THOMMAS	61
WALEED	61
ZEKI	61
FRED	60
GUSTAVO	60
HELGI	60
MASSIMO	60
NAVEED	60
NERIJUS	60
THORSTEIN	60
VITALIY	60
YAKUB	60
ANGEL	59
ARNI	59
BESIM	59
DUSAN	59
FARAH	59
FERENC	59
GEDIMINAS	59
JOAO	59
JUUL	59
MARCOS	59
NEVZAT	59
SUAD	59
THERKEL	59
TORMOD	59
VILLE	59
YNGVE	59
